prefix_id,department_id,course_code_prefix,prefix_description
1,1,ANT,Anthropology 
2,2,ACM,Arts Culture and Media
3,2,CRT,Curatorial Studies
4,2,VPH,Art History and Visual Culture
5,2,VPA,Arts Management
6,2,JOU,Journalism
7,2,MDS,Media Studies
8,2,MUZ,Music
9,2,MBT,Music Industry and Technology
10,2,NME,New Media Studies
11,2,VPS,Studio Art
12,2,THR,Theatre and Performance
13,3,BIO,Biological Sciences courses
14,4,CSC,Computer Science
15,4,MAT,Mathematics
16,4,ACT,Statistics
17,4,STA,Statistics
18,5,ENG,English
19,5,FLM,English
20,6,AFS,African Studies
21,6,IDS,International Development Studies
22,7,HLT,Health and Society
23,7,PMD,Paramedicine
24,8,HCS,Historical and Cultural Studies
25,8,RLG,Religion
26,8,CLA,Classical Studies
27,8,GAS,Global Asia Studies
28,8,HIS,History
29,8,WST,Women's and Gender Studies
30,9,DTS,Diaspora and Transnational Studies
31,9,CIT,City Studies
32,9,GGR,Geography
33,10,FRE,French
34,10,ECT,Languages
35,10,LGG,Languages
36,10,LIN,Linguistics
37,10,PLI,Linguistics
38,11,MGE,Economics for Management Studies
39,11,MGA,Management
40,11,MGF,Management
41,11,MGH,Management
42,11,MGI,Management
43,11,MGM,Management
44,11,MGO,Management
45,11,MGS,Management
46,11,MGT,Management
47,12,PHL,Philosophy courses
48,13,AST,Astronomy
49,13,CHM,Chemistry
50,13,EES,Environmental Science
51,13,EST,Environmental Studies
52,13,EET,Climate Change Studies
53,13,FST,Food Studies
54,13,PSC,Physical Sciences
55,13,PHY,Physics
56,14,POL,Political Science
57,14,PPG,Public Policy
58,15,NRO,Neuroscience
59,15,PSY,Psychology
60,16,SOC,Sociology
61,16,CTE,Concurrent Teacher Education
62,17,CTL,Teaching and Learning
